comment,source
"kalau dia panik , gk ada yang mau investasi lagi, tapi kalo dibiarin anjlok hancur juga indonesia. yang kecekik kan rakyat bukan pemerintahan",instagram
kami yg panik pak,instagram
keren bgt buzzer darithe_imfbeneran keren usahanya ,instagram
sinetron apa lg ni. menkeu nya nanti jg diganti sodaranya pak wowo biar komplit krn katanya org desa g pake dollar,instagram
purbayayudhikatanya mau di ganti? seriusan nanya?,instagram
"sbg org awam sy taunya sebagian besar masyarakat pd ga punya duit, yg punya duit nabung di luar negeri lebih ga ribet ",instagram
ganti chatib basri,instagram
noh di bi ada si ponakan si onoh ama gub bi nya ngapain aja?? tahu diri dong siap resign ..!!,instagram
hendra_wijaya29iya lagipadahal bagus beliau,instagram
apa yang diharapkan dari pejabat2 yg presiden nya si anti kritik. rezim ini sibuk ngurusin rakyatsibuk ngurusin ternak2,instagram
"bank indonesia bisa dianalogikan seperti dokter. jika kondisi tidak baik, maka melakukan tindakan seperti suku bunga atau masuk ke pasar valas.pemerintah bisa dianalogikan seperti pengatur pola hidup, biar sehat. dalam konteks ekonomi, pemerintah harus menjaga apbn, mendorong ekspor, mengurangi impor, investasi stabil dll.",instagram
bapak gak panik karena penghasilan sebagai menteri abs asal bapak senang banyak. bagaimana nasib rakyat yang pajaknya untuk gaji bapak?,instagram
antonio carlos jobim  look to the sky,instagram
yg atas gak bakal panik yg panik itu golongan ke bawah apa apa jadi naik sedangkan pendapatan tetap sama,instagram
gak panik sih tapi lesu ya pak,instagram
menteri gak ada gunanya ,instagram
lo ga panik tapi gw panik lihat kenyataanlo enak jabatan dan income gede!,instagram
"omon omon lah lu pak, pada dasarnya lu gak bisa atasin ini, gila si ini pemerintahan",instagram
"bukan masalah anda panik, tapi rakyat yang panik",instagram
pak purnomo terlalu royall ga berani ngebully orang orang nafsuan . kasian .,instagram
"orang jujur kerja nya jd kurus,, ekhh yg pembohong gemuk dandan dadan",instagram
pak purbaya ketika bl tahan rupiah bapak pingin mencairkan ketika dolar kuat di serahkan bl jangan banyak intervensi bl sekarang coba naikan bunga deposito,instagram
mulai lempar lemparan ...,instagram
purbaya sok tau,instagram
"dari video ini pak pur udah ga senyum, kata presiden kan kalo pak pur dah ga senyum berarti udah gawat",instagram
sylvie vartan  la maritza,instagram
kapan tembus 20.000 pak....,instagram
serahkan yg sering ngayap sama pacaran ke luar negri,instagram
"mending jujur aja pak kondisi ekonomi kita saat ini sprti apa? ajak swasta utk mikirin strateginya seperti apa, permudah regulasi pemerintah dgn tetap menjalankan fungsi kontrol dan monitoringnya,,, jgn diskusi sama org partai pak, beda hasilnya",instagram
coba wawancara juga ke gubernur bi. apa langkah nyatanya sekarang.,instagram
semangat ya pak,instagram
anda lihat saya panik? nggak! ,instagram
"ayo p pur,katanya jagooo, pintar..katanya berada di belakang 3 presiden dlm hal ksh saran dulu dulu,jgn kalah ama sm...",instagram
"ekonomi kita masih baik, tunggu hancur?",instagram
gak usah denial pak ngomong aja udah gak senyum lagi gtu kok,instagram
masyarakat indonesia yang panikan sama dollar cuma para pengusaha saya sebagai rakyat biasa santai saja,instagram
"katanya doktor lulusan purdue? ah, malumaluin aja.",instagram
kannn akhirnya cuci tangan ,instagram
si gembrot masih egois susah,instagram
pak purbaya tak berdaya bang lihat gestur tubuh nya bang,instagram
bacot gaya doank tapi otak kosong,instagram
pak panik pak masalah nya prabowo mikir kalau bapak baik baik saja berarti aman...padahal gak seaman itu,instagram
"yg panik kita2, rakyat bro",instagram
"pak katanya rupiah turun harta atasan bi ada yang malah meningkat pesat, perlu dicek kembali tuh ...",instagram
"pak menteri, bi itu cuma ugd, dokter spesialisnya itu tim anda. bi cuma punya parasetamol intervensi idr tapi penyakit aslinya pemborosan fiskal, tata kelola, dll tim anda yang harus beresin. jangan lempar batu abis itu ngumpet..",instagram
"mulai diem kan bacotnya, kmrin ini org yg teriak2 turun 15rb",instagram
biasa...saling lempar...haha..matak tong loba gaya euuyy...,instagram
mentri yang hanya bisa sesumbar di medsos hasil kerja nol... tong kosong nyaring bunyinya,instagram
liat dong direktur bi siapa. dari awal emang apa sih yang buat kepercayaan investor turun. rupiah anjlok.,instagram
g sanggup kan lu pak dah mundur ja lahpurbayayudhi,instagram
memang tidak mudah ngelawan mafia global. perlu keberanian dan kecerdasan ekstraordinary,instagram
tembus 20rb br panik,instagram
mulai stres.. lempar k bi.. kebijakan fiskal bro yg hrs d perbaiki..,instagram
gk panik sampe 25rb ya gk pur?  lu mau ikutin jejak rumah lu dijarah warga lagi kyk si mantan?,instagram
"anda ngga panik biar rupiah sampe 20 ribu,karna uang anda masi banyak walaupun anda di pecat,beda sama kami rakyat biasa berbelanja di pasar harga semakin naik semua",instagram
hahaha titipan bi mana tuh,instagram
"sekarang yang panik rakyat, pejabat di atas malah santai2 saja. beda sama zaman pak habibie",instagram
gubernur bi nya siapa ,instagram
gak punya wa grup finansial apa yah.. masing2 aja,instagram
"udah dibilang pasti di lempar ke bi, karena bi ga bakalan bisa kena intervensi siapapun, ujungnya mentok di bi. inilah langkah cerdasnya pemerintah untuk disalahkan",instagram
"bapak mah nggak panik, msh punya gaji gede, tunjangan gede, bonus gede pak... laah kalo harga tambah naik, rakyat yang panik lho pak....",instagram
menkeu paling berisik,instagram
ga ada niatan berhenti gitu pak?,instagram
pak purbaya udah pengen resign itu.,instagram
ga senyum udh ga baik baik aja,instagram
pak pak apalagi drama ini pak,instagram
"si tukng omdo mulai gugup hoki amt lho dia, mdel sdm rendh bgtu bisa dpt kursi jabatan luar biasa kau purrr. perbnyk omdony lgi yhhhh",instagram
"banyak begal, preman, maling motor, sehingga bule takut ke indo, wisatawan takut inves di indo pak, sehingga kemungkinan pendapatan visa, valas berkurang, ayok dong perbaiki, masyarakat ingin hak keamanannya ",instagram
"proposal buat presiden  mohon bisa segera rombak jajaran bank sentral, ganti personel personel yang tidak kompeten atau tidak mengerti tidak memiliki ilmu , sebagai banl regulator. termasuk kerabat presiden. posisikan beliau ditempat yang sesuai dengan skillnya, dan ditempat yang lessvital. demikian saran.",instagram
tumben ga cengengesan,instagram
"ujug2 meledak ,,ngeriii...",instagram
gak paniklah pendapatanya ratusan x lipat umr ,instagram
uda bener ga masuk pemerintahan malah nawarin diri,instagram
"kaco purbaya, kenapa gak mundur aja dia??",instagram
yg punya duit bnyk kaya mentri pejabat penikmat pajak rakyat mah gak panik,instagram
waaah emang klo 18.000 naik seberapa jauh,instagram
"coba suruh dia aja jadi gubernurbank_indonesia, kn kmrn dia blg dalam semalam bisa rupiah ke 15k tuh, ayo dongprabowokita buktikan omongan si koboy ",instagram
bilang aja gak mampu bos!!!,instagram
ledakin aja udah nanggung,instagram
ga ada wa atau telepon kah? abis pulsa? ,instagram
"bilang pak pur ke media yg bikin naek atasan gw, asal ngomong kl pidato, jd investor asing pada kabur",instagram
lah kok tanya saya....,instagram
mau rupiah 20.000 ribu pun ga akan panik sih kan cuma menjalankan tugas dapet gaji gede. udah lebih dari cukup. yg panik yg dibawah harga kebutuhan naik signifikan ,instagram
"mo nyalahin faktor eksternal, malaysia g gini² amat pak",instagram
tp bukannya bilang mau ke 15.000??????? bukannya harus bantu sana,instagram
katanya 15ribu? lain hari lain omongan ni purbadut,instagram
anda memng tidak panik.yg panik sekitar 200 juta rakyat miskin indonesia,instagram
paak ini keadaan udh harus dintervensi loh,instagram
"bi mestinya bilang  presiden yang ugalugalan impor motor bgn, impor susu, sering jalanjalan ke ln, trus gw bisa apa?",instagram
wkkwkwkw lempar2an purbacot,instagram
"imf..... institusi setan ribawi dajjal laknatulah yang sangat zholim menindas rakyat indonesia dengan mengacak acak bursa saham indonesia, menurunkan daya beli rupiah ... bubarkan bi.. boneka cukong bankir oligarki dunia imf dan bank dunia ribawi dajjal laknatulah yang sangat zholim menindas umat manusia",instagram
min coba cecer gub bi nya biar balance beritanya. biar gub bi viralnya sebanding dg pak pur,instagram
pak pur mulai oleng  ,instagram
udah gini baru main lempar2 an !!!!!,instagram
minta pemilu ulang boleh gak ???,instagram
ping pong pun dimulai. ,instagram
hadehhh banyak bacot buat rupiah anjlok bilang yakin bla bla bla,instagram
"dia panik kalo sudah gak digaji , selama masih digaji mana mungkin panik",instagram
fiskal gimana pak? bi kan moneter..,instagram
susah klo presidennya denial,instagram
gile tembus 18rb masih dibilang baik ,instagram
rupiah bgini msh aja fokus urus mbg d sicc ,instagram
"jago narasi, eksekusi nol",instagram
demam badan udh 39 masih bilang sehat2 aja,instagram
ga usa panik...krn org desa ga pake dollar,instagram
